Altium Designer Pick and Place Locations
C:\Users\Joseph Gigantino\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for Main.txt

========================================================================================================================
File Design Information:

Date:       29/10/22
Time:       12:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                    Layer       Footprint                             Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                  
R5         "10 kO"                    TopLayer    RESC1609X55X30LL10T20                 2680.000      2100.000      180      "RES SMD 10K OHM 0.1% 1/10W 0603"                                                                                                            
U7         OPT101P                    TopLayer    PCBComponent_1                        3240.000      1775.000      0        "Monolithic Photodiode and Single-Supply Transimpedance Amplifier 8-PDIP"                                                                    
U6         OPT101P                    TopLayer    PCBComponent_1                        2540.000      1775.000      0        "Monolithic Photodiode and Single-Supply Transimpedance Amplifier 8-PDIP"                                                                    
U5         CC2650MODAMOHR             TopLayer    PCB-4tq8h8ihaqqp8y0bxv6i-1            2867.795      1335.000      270      "SimpleLink™ Bluetooth® low energy Wireless MCU Module 29-QFM -40 to 85"                                                                     
U4         LTC3531ES6-3.3#TRMPBF      TopLayer    LT-S6-6-TSOT-23_M                     2885.000      1840.000      180      "200 mA Buck-Boost Synchronous DC/DC Converter, 6-pin SOT23 (S6-6), -40 to 85 degC, Pb-Free, Mini Tape and Reel"                             
U3         LMS33460MG/NOPB            TopLayer    MAA05A_N                              2840.000      1970.000      180      "3V Under Voltage Detector, 5-pin SC-70, Pb-Free"                                                                                            
U2         LTC3129EUD-1#PBF           TopLayer    LT-UD-16-EPV-AA_L                     2215.000      2155.000      0        "15 V, 200 mA Synchronous Buck-Boost DC/DC Converter with 1.3 uA Quiescent Current, 16-pin QFN (UD-16-EPV-AA), -40 to 125 degC, Pb-Free"     
U1         MCP73832T-2ACI/OT          TopLayer    PCB-la0cnliiym9f8z845y99-1            2670.000      2380.000      270      "MICROCHIP   MCP73832T-2ACI/OT   LI-ION/LI-POLY CHARGE CONTROLLER"                                                                           
SW1        "E-Switch EG1218"          BottomLayer ESWI-EG1218_V                         1875.000      2220.000      90       "Slide Switch, 500 V, -20 to 70 degC, 3-Pin THD, RoHS"                                                                                       
R20        "100 O"                    BottomLayer RESC1005X37X25ML05T10                 3215.000      1300.000      270      "Thick Film Resistors - SMD 1/16W 100ohm 5%"                                                                                                 
R19        "100 O"                    BottomLayer RESC1005X37X25ML05T10                 3310.000      1305.000      270      "Thick Film Resistors - SMD 1/16W 100ohm 5%"                                                                                                 
R18        "100 O"                    BottomLayer RESC1005X37X25ML05T10                 3395.000      1305.000      270      "Thick Film Resistors - SMD 1/16W 100ohm 5%"                                                                                                 
R17        "10 kO"                    TopLayer    RESC1609X55X30LL10T20                 2025.000      2145.000      90       "RES SMD 10K OHM 0.1% 1/10W 0603"                                                                                                            
R16        "10 kO"                    TopLayer    RESC1609X55X30LL10T20                 2585.000      1335.000      180      "RES SMD 10K OHM 0.1% 1/10W 0603"                                                                                                            
R15        "470 kO"                   TopLayer    RESC1005X40X25ML05T05                 2755.000      2020.000      270      "Thick film resistor"                                                                                                                        
R14        "100 O"                    TopLayer    RESC1005X37X25ML05T10                 2165.000      1370.000      90       "Thick Film Resistors - SMD 1/16W 100ohm 5%"                                                                                                 
R13        "100 O"                    TopLayer    RESC1005X37X25ML05T10                 2320.000      1370.000      90       "Thick Film Resistors - SMD 1/16W 100ohm 5%"                                                                                                 
R12        "100 O"                    TopLayer    RESC1005X37X25ML05T10                 2010.000      1370.000      90       "Thick Film Resistors - SMD 1/16W 100ohm 5%"                                                                                                 
R11        "100 O"                    TopLayer    RESC1005X37X25ML05T10                 2170.000      2010.000      90       "Thick Film Resistors - SMD 1/16W 100ohm 5%"                                                                                                 
R10        "100 O"                    TopLayer    RESC1005X37X25ML05T10                 2215.000      2010.000      90       "Thick Film Resistors - SMD 1/16W 100ohm 5%"                                                                                                 
R9         "100 O"                    TopLayer    RESC1005X37X25ML05T10                 2125.000      2010.000      90       "Thick Film Resistors - SMD 1/16W 100ohm 5%"                                                                                                 
R8         "10 kO"                    TopLayer    RESC1609X55X30LL10T20                 2390.000      2155.000      180      "RES SMD 10K OHM 0.1% 1/10W 0603"                                                                                                            
R7         "2 MO"                     TopLayer    RESC1005X40X25LL05T05                 1790.000      2265.000      270      "Thick Film Resistors - SMD 0402 2Mohms 5% Tol"                                                                                              
R6         "2 MO"                     TopLayer    RESC1005X40X25LL05T05                 1805.000      2215.000      0        "Thick Film Resistors - SMD 0402 2Mohms 5% Tol"                                                                                              
R4         "10 kO"                    TopLayer    RESC1609X55X30LL10T20                 2800.000      2410.000      180      "RES SMD 10K OHM 0.1% 1/10W 0603"                                                                                                            
R3         "10 kO"                    TopLayer    RESC1609X55X30LL10T20                 2535.000      2390.000      0        "RES SMD 10K OHM 0.1% 1/10W 0603"                                                                                                            
R2         "100 kO"                   TopLayer    Vishay_CRCW0402100KFKEDHP-Footprint-1 2715.003      2220.005      0        "Res Thick Film 0402 100K Ohm 1% 0.2W(1/5W) ±100ppm/C Pad SMD Automotive T/R"                                                                
R1         "100 kO"                   TopLayer    Vishay_CRCW0402100KFKEDHP-Footprint-1 2734.995      2280.003      90       "Res Thick Film 0402 100K Ohm 1% 0.2W(1/5W) ±100ppm/C Pad SMD Automotive T/R"                                                                
Q4         DMN2005K-7                 TopLayer    ONSC-SOT-23-3-318-08_V                2205.000      1480.000      90       "MOSFETs - Low Threshold Voltage N-Channel https://www.digikey.com/en/products/detail/diodes-incorporated/"                                  
Q3         DMN2005K-7                 TopLayer    ONSC-SOT-23-3-318-08_V                2360.000      1480.000      90       "MOSFETs - Low Threshold Voltage N-Channel https://www.digikey.com/en/products/detail/diodes-incorporated/"                                  
